ManufacturerName,DKPartNumber,ProductDescription,QuantityOnHand,AvailableOnOrder,ManfacturerPublicQuantity,UnitPrice,ManufacturerLeadWeeks,StandardPackage,MinimumOrderQuantity,Url,Packaging,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Failure Rate,Notification,Applications,Temperature Coefficient,Thickness (Max),Lead Style,Ratings
"{'Id': '399', 'Text': 'KEMET'}",399-12227-2-ND,CAP TANT POLY 100UF 6.3V 3528,0,0,0,3.6656,25 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T543B107M006ATW025/399-12227-2-ND/5414667,Tape & Reel (TR),Active,100µF,±20%,6.3V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.079"" (2.00mm)",-,B,High Reliability,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,COTS
"{'Id': '399', 'Text': 'KEMET'}",399-5134-2-ND,CAP TANT POLY 330UF 2.5V 2312,1000,0,0,1.06575,14 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520L337M2R5ATE025/399-5134-2-ND/1681749,Tape & Reel (TR),Active,330µF,±20%,2.5V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.075"" (1.90mm)",-,L,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-13351-2-ND,CAP TANT POLY 33UF 10% 10V 3528,100,0,0,4.2339,18 weeks,100,100,www.digikey.com/product-detail/en/kemet/T543B336K010AHW025D100/399-13351-2-ND/6100161,Tape & Reel (TR),Active,33µF,±10%,10V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.079"" (2.00mm)",-,B,High Reliability,,,,,,,COTS
"{'Id': '399', 'Text': 'KEMET'}",399-4090-2-ND,CAP TANT POLY 220UF 2.5V 2917,1000,0,0,1.176,23 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520V227M2R5ATE012/399-4090-2-ND/818951,Tape & Reel (TR),Active,220µF,±20%,2.5V,Molded,12 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-5139-2-ND,CAP TANT POLY 150UF 6.3V 2312,0,1000,0,1.0584,14 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520L157M006ATE025/399-5139-2-ND/1681754,Tape & Reel (TR),Active,150µF,±20%,6.3V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.075"" (1.90mm)",-,L,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-3283-2-ND,CAP TANT POLY 220UF 10V 2917,2500,0,0,1.59102,13 weeks,500,500,www.digikey.com/product-detail/en/kemet/T525D227M010ATE025/399-3283-2-ND/600082,Tape & Reel (TR),Active,220µF,±20%,10V,Molded,25 mOhm @ 100kHz,-55°C ~ 125°C,-,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-10458-2-ND,CAP TANT POLY 10UF 63V 2917,500,0,0,6.46512,53 weeks,500,500,www.digikey.com/product-detail/en/kemet/T543X106M063AHE050/399-10458-2-ND/3945645,Tape & Reel (TR),Active,10µF,±20%,63V,Molded,50 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.169"" (4.30mm)",-,X,High Reliability,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,COTS
"{'Id': '399', 'Text': 'KEMET'}",399-16629-2-ND,CAP TANT POLY 470UF 6.3V SMD,0,2000,0,0.95256,22 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520V477M006ATE035/399-16629-2-ND/8042241,Tape & Reel (TR),Active,470µF,±20%,6.3V,Molded,35 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4015-2-ND,CAP TANT POLY 150UF 4V 3528,0,0,0,0.36236,29 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T520B157M004ATE070/399-4015-2-ND/818876,Tape & Reel (TR),Active,150µF,±20%,4V,Molded,70 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-12231-2-ND,CAP TANT POLY 10UF 50V 2917,0,0,0,5.38312,8 weeks,500,500,www.digikey.com/product-detail/en/kemet/T543D106K050ATW090/399-12231-2-ND/5414671,Tape & Reel (TR),Active,10µF,±10%,50V,Molded,90 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,High Reliability,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,COTS
