Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Unit Price                                                          USD,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Ratings,Features,Failure Rate
399-8273-1-ND,T491A224K035AT,KEMET,CAP TANT 0.22UF 35V 10% 1206,"10,490 - Immediate",$0.42000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.22µF,±10%,35V,Molded,18 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8274-1-ND,T491A224M035AT,KEMET,CAP TANT 0.22UF 35V 20% 1206,"4,751 - Immediate",$0.42000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.22µF,±20%,35V,Molded,18 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10131-1-ND,T491A685K006AT,KEMET,CAP TANT 6.8UF 6.3V 10% 1206,"5,514 - Immediate",$0.42000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±10%,6.3V,Molded,6 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10133-1-ND,T491A685M006AT,KEMET,CAP TANT 6.8UF 6.3V 20% 1206,"6,562 - Immediate",$0.42000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±20%,6.3V,Molded,6 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10134-1-ND,T491A685M010AT,KEMET,CAP TANT 6.8UF 10V 20% 1206,"17,537 - Immediate",$0.44000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±20%,10V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8279-1-ND,T491A226K006AT,KEMET,CAP TANT 22UF 6.3V 10% 1206,"67,040 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±10%,6.3V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-9717-1-ND,T491A475K006AT,KEMET,CAP TANT 4.7UF 6.3V 10% 1206,"20,477 - Immediate",$0.46000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,6.3V,Molded,6 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8291-1-ND,T491A475M006AT,KEMET,CAP TANT 4.7UF 6.3V 20% 1206,"6,547 - Immediate",$0.46000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±20%,6.3V,Molded,5.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3677-1-ND,T491A104M035AT,KEMET,CAP TANT 0.1UF 35V 20% 1206,"510,842 - Immediate",$0.47000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.1µF,±20%,35V,Molded,20 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3676-1-ND,T491A104K035AT,KEMET,CAP TANT 0.1UF 35V 10% 1206,"357,765 - Immediate",$0.47000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.1µF,±10%,35V,Molded,20 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
